question,intent
What is the attendance requirement?,0
How much attendance do I need?,0
What is the minimum attendance percentage?,0
Can I appear for exam with low attendance?,0
When is the examination?,1
What is the exam date?,1
When will the results be announced?,1
What is the examination schedule?,1
What subjects are in BCA?,2
What is the course structure?,2
What subjects will I study?,2
Tell me about the curriculum,2
How do I apply for admission?,3
What are admission requirements?,3
What documents are needed for admission?,3
What is the admission process?,3
What is the fee structure?,4
How much does the course cost?,4
What is the tuition fee?,4
When is the fee due?,4
What are the college rules?,5
Tell me about the college policy,5
What are the examination rules?,5
Can I retake the examination?,5
